0.184kg - 2024-11-12 10:28:46.65
0.184kg - 2024-11-12 10:28:46.71
0.184kg - 2024-11-12 10:28:46.75
0.184kg - 2024-11-12 10:28:46.79
0.184kg - 2024-11-12 10:28:46.83
0.184kg - 2024-11-12 10:28:46.87
0.184kg - 2024-11-12 10:28:46.91
0.184kg - 2024-11-12 10:28:46.96
0.184kg - 2024-11-12 10:28:46.99
0.184kg - 2024-11-12 10:28:47.04
0.184kg - 2024-11-12 10:28:47.08
0.184kg - 2024-11-12 10:28:47.12
0.184kg - 2024-11-12 10:28:47.16
0.184kg - 2024-11-12 10:28:47.21
0.184kg - 2024-11-12 10:28:47.24
0.184kg - 2024-11-12 10:28:47.29
0.184kg - 2024-11-12 10:28:47.32
0.184kg - 2024-11-12 10:28:47.37
0.184kg - 2024-11-12 10:28:47.40
0.184kg - 2024-11-12 10:28:47.43
0.184kg - 2024-11-12 10:28:47.49
0.184kg - 2024-11-12 10:28:47.53
0.184kg - 2024-11-12 10:28:47.57
0.184kg - 2024-11-12 10:28:47.62
0.184kg - 2024-11-12 10:28:47.65
0.184kg - 2024-11-12 10:28:47.68
0.184kg - 2024-11-12 10:28:47.73
0.184kg - 2024-11-12 10:28:47.78
0.184kg - 2024-11-12 10:28:47.82
0.184kg - 2024-11-12 10:28:47.85
0.184kg - 2024-11-12 10:28:47.90
0.184kg - 2024-11-12 10:28:47.94
0.184kg - 2024-11-12 10:28:47.99
0.184kg - 2024-11-12 10:28:48.03
0.184kg - 2024-11-12 10:28:48.07
0.184kg - 2024-11-12 10:28:48.11
0.184kg - 2024-11-12 10:28:48.16
0.184kg - 2024-11-12 10:28:48.19
0.184kg - 2024-11-12 10:28:48.23
0.184kg - 2024-11-12 10:28:48.27
0.184kg - 2024-11-12 10:28:48.32
0.184kg - 2024-11-12 10:28:48.35
0.184kg - 2024-11-12 10:28:48.38
0.185kg - 2024-11-12 10:28:48.45
0.185kg - 2024-11-12 10:28:48.49
0.185kg - 2024-11-12 10:28:48.52
0.185kg - 2024-11-12 10:28:48.57
0.185kg - 2024-11-12 10:28:48.60
0.185kg - 2024-11-12 10:28:48.65
0.185kg - 2024-11-12 10:28:48.69
0.185kg - 2024-11-12 10:28:48.73
0.185kg - 2024-11-12 10:28:48.77
0.185kg - 2024-11-12 10:28:48.82
0.185kg - 2024-11-12 10:28:48.85
0.185kg - 2024-11-12 10:28:48.90
0.185kg - 2024-11-12 10:28:48.95
0.185kg - 2024-11-12 10:28:48.99
0.185kg - 2024-11-12 10:28:49.02
0.185kg - 2024-11-12 10:28:49.05
0.185kg - 2024-11-12 10:28:49.10
0.185kg - 2024-11-12 10:28:49.15
0.185kg - 2024-11-12 10:28:49.19
0.185kg - 2024-11-12 10:28:49.23
0.185kg - 2024-11-12 10:28:49.27
0.185kg - 2024-11-12 10:28:49.30
0.185kg - 2024-11-12 10:28:49.35
0.185kg - 2024-11-12 10:28:49.40
0.185kg - 2024-11-12 10:28:49.44
0.185kg - 2024-11-12 10:28:49.48
0.185kg - 2024-11-12 10:28:49.52
0.185kg - 2024-11-12 10:28:49.56
0.185kg - 2024-11-12 10:28:49.60
0.185kg - 2024-11-12 10:28:49.64
0.185kg - 2024-11-12 10:28:49.68
0.185kg - 2024-11-12 10:28:49.72
0.185kg - 2024-11-12 10:28:49.76
0.185kg - 2024-11-12 10:28:49.80
0.185kg - 2024-11-12 10:28:49.84
0.185kg - 2024-11-12 10:28:49.87
0.185kg - 2024-11-12 10:28:49.92
0.185kg - 2024-11-12 10:28:49.96
0.185kg - 2024-11-12 10:28:49.99
0.185kg - 2024-11-12 10:28:50.04
0.185kg - 2024-11-12 10:28:50.07
0.185kg - 2024-11-12 10:28:50.11
GS   1.184kg - 2024-11-12 10:28:50.16
GS   1.184kg - 2024-11-12 10:28:50.20
GS   1.184kg - 2024-11-12 10:28:50.24
GS   1.773kg - 2024-11-12 10:28:50.28
GS   1.773kg - 2024-11-12 10:28:50.32
GS   1.773kg - 2024-11-12 10:28:50.36
GS   2.451kg - 2024-11-12 10:28:50.41
GS   2.451kg - 2024-11-12 10:28:50.43
GS   2.451kg - 2024-11-12 10:28:50.48
GS   2.451kg - 2024-11-12 10:28:50.52
GS   3.287kg - 2024-11-12 10:28:50.57
